description,title,short_description,image
Плоттеры/Brother,Режущий плоттер Brother DesignNCut DC100,Brother,https://avatars.mds.yandex.net/get-mpic/1865652/img_id9052080089339673832.jpeg/orig
Кухонные весы,Цифровые бытовые весы RUN RABBIT RR-2 (максимальная нагрузка 180 кг),,https://avatars.mds.yandex.net/get-mpic/1644362/img_id667181966382407681.jpeg/orig
Кухонные весы/Gemlux,Кухонные весы Gemlux GL-KS10 серебристый/черный,Gemlux,https://avatars.mds.yandex.net/get-mpic/1362400/img_id3622241165848276307.jpeg/orig
Аксессуары для кофемашин и кофеварок/Jura,Средство Jura Для декальцинации 9 шт.,Jura,https://avatars.mds.yandex.net/get-mpic/1860966/img_id3876422484224404409.jpeg/orig
Очистители и увлажнители воздуха/Boneco,"Мойка воздуха Boneco W1355A, белый",Boneco,https://avatars.mds.yandex.net/get-mpic/96484/img_id2373769742006226432/orig
Удлинители и сетевые фильтры,"Бытовой удлинитель HomeLine 3гн б/з без выкл. ПВС2х0,75 6А1,3кВт 1,5м серый",,https://avatars.mds.yandex.net/get-mpic/1901070/img_id1494674081255201461.jpeg/orig
Карты флэш-памяти/Kingston,Карта памяти Kingston SDC4/8GBSP,Kingston,https://avatars.mds.yandex.net/get-mpic/1111879/img_id230149307476846638.jpeg/orig
Другие массажеры/BRADEX,Массажер BRADEX роликовый (KZ 0485) бежевый,BRADEX,https://avatars.mds.yandex.net/get-mpic/1808939/img_id8605258454150278315.jpeg/orig
Принтеры и МФУ/Xerox,Принтер Xerox Phaser 6020 белый,Xerox,https://avatars.mds.yandex.net/get-mpic/1620389/img_id8995393312811528538/orig
Удлинители и сетевые фильтры/ФОТОН,"Удлинитель сетевой ""ФОТОН"" 16-23Е, 2м, 3 розетки, 16А, с заземл.,Черный",ФОТОН,https://avatars.mds.yandex.net/get-mpic/1927699/img_id6808900702123427934.png/orig
Коврики для мыши/ORICO,Коврик ORICO MPA3025 черный/синий,ORICO,https://avatars.mds.yandex.net/get-mpic/1669769/img_id2761743058340940988.jpeg/orig
Картриджи для оргтехники/T2,Картридж T2 IC-H056,T2,https://avatars.mds.yandex.net/get-mpic/1926093/img_id4084863679182846602.jpeg/orig
Посудомоечные машины/Electrolux,Посудомоечная машина Electrolux ESF 2400 OH,Electrolux,https://avatars.mds.yandex.net/get-mpic/1726038/img_id7451055232364663526/orig
Аэрогрили/CENTEK,Аэрогриль CENTEK CT-1456 белый,CENTEK,https://avatars.mds.yandex.net/get-mpic/200316/img_id504037576495764273.png/orig
"Кабели, разъемы, переходники/Apple",Кабель Apple USB Type-C - Lightning (MKQ42ZM/A) 2 м белый,Apple,https://avatars.mds.yandex.net/get-mpic/1382936/img_id8879875950062107174.jpeg/orig
USB-концентраторы/Defender,"USB-концентратор Defender Quadro Infix (83504), разъемов: 4, черный",Defender,https://avatars.mds.yandex.net/get-mpic/1111879/img_id1758870900611518421.jpeg/orig
Картриджи и сменные элементы для бытовых водоочистителей/Аквафор,"Аквафор В520-12 Модуль сменный, 1 шт.",Аквафор,https://avatars.mds.yandex.net/get-mpic/1859063/img_id5891053180562976918.jpeg/orig
Кофеварки и кофемашины/Polaris,Кофеварка рожковая Polaris PCM 1532E champagne,Polaris,https://avatars.mds.yandex.net/get-mpic/906397/img_id1373259130618168582.jpeg/orig
Фильтры и умягчители для воды/Prio Новая вода,Фильтр под мойкой Prio Новая вода Start Osmos OU380 пятиступенчатый,Prio Новая вода,https://avatars.mds.yandex.net/get-mpic/175985/img_id5345245047392036603.jpeg/orig
"Кабели, разъемы, переходники/Baseus",Кабель Baseus Portable USB - USB Type-C (CATMBJ) 0.23 м золотистый/черный,Baseus,https://avatars.mds.yandex.net/get-mpic/1522540/img_id3175858248026348009.jpeg/orig
Холодильники/Liebherr,Холодильник Liebherr CU 4015,Liebherr,https://avatars.mds.yandex.net/get-mpic/199079/img_id2984228902795772305/orig
Напольные весы/AKAI,Весы AKAI SB-1354V,AKAI,https://avatars.mds.yandex.net/get-mpic/1642819/img_id7093308595631689977/orig
Флешки USB/SanDisk,Флешка SanDisk Extreme Go USB 3.1 64GB черный,SanDisk,https://avatars.mds.yandex.net/get-mpic/1362400/img_id1005443382622009259.jpeg/orig
Офисная бумага и пленка/Bursten,Бумага A6 50 шт. Bursten HDR 150 г/м2 белый,Bursten,https://avatars.mds.yandex.net/get-mpic/1884605/img_id7172113139583727975.jpeg/orig
Пылесосы/Samsung,Пылесос Samsung SC4520 blue,Samsung,https://avatars.mds.yandex.net/get-mpic/1364191/img_id1915864705475807320.jpeg/orig
Очистители и увлажнители воздуха/Winia,"Мойка воздуха Winia AWX-70, белый/фиолетовый",Winia,https://avatars.mds.yandex.net/get-mpic/1808939/img_id7760639575870937591/orig
Грили и шашлычницы/VIGOR,Гриль VIGOR HX-7110 серый/черный,VIGOR,https://avatars.mds.yandex.net/get-mpic/1620389/img_id1001791905776912232.jpeg/orig
